"Response ID","Time Started","Date Submitted","Status","q1_screening_class_action_5years","q2_new_regulations","q3_supreme_court_pro_class:q_item_","q4_legal_fees:q_item_","q5_file_dismissal_legal_fees:q_item_","q6_class_amount:q_item_","q7_attorney_general_position:q_item_","q8_defend_public:q_item_","גיל רון קינן ושות':q9_prosecutors","אייל גולדנברג:q9_prosecutors","שפירא בר אור מצקין:q9_prosecutors","שפיגלמן:q9_prosecutors","אבי רוקח:q9_prosecutors","בך - לדרמן:q9_prosecutors","גורודיסקי:q9_prosecutors","גרימברג - ורד:q9_prosecutors","ואנונו - זקבך:q9_prosecutors","מוסקוביץ – אזרואל:q9_prosecutors","יצחק אבירם:q9_prosecutors","קלעי רוזן:q9_prosecutors","אסף פינק:q9_prosecutors","רונן עדיני:q9_prosecutors","טנוס והאני ניזאר:q9_prosecutors","מסאלחה אחמד:q9_prosecutors","יוחי גבע:q9_prosecutors","פדלון&לופו:q9_prosecutors","גולן נפתלי:q9_prosecutors","מאור בן דוד:q9_prosecutors","שקד דדוש:q9_prosecutors","אורלי בן עמי:q9_prosecutors","זילברברג מלין:q9_prosecutors","לירון פרמינגר:q9_prosecutors","יונתן רפפורט:q9_prosecutors","אנגור דוד:q9_prosecutors","אמיר ישראלי:q9_prosecutors","רענן בשן:q9_prosecutors","איתי ליבנה:q9_prosecutors","פירט וילנסקי:q9_prosecutors","אסף שילה:q9_prosecutors","חן שטיין:q9_prosecutors","דוד מזרחי:q9_prosecutors","דן אשכנזי:q9_prosecutors","חן שטיין:q9_prosecutors","חן יערי רוזן עם גלעד ברנע:q9_prosecutors","אורי ברעם:q9_prosecutors","עובדיה כהן:q9_prosecutors","רם דקל:q9_prosecutors","שמש מנור:q9_prosecutors","אחר, פרט::q9_prosecutors","אחר, פרט::q9_prosecutors","הרצוג פוקס נאמן:q10_defendant","מיתר ליקוורניק:q10_defendant","גולדפרב זליגמן:q10_defendant","שבלת עם ראבד מגריזו:q10_defendant","פישר בכר חן וול אוריון:q10_defendant","מ.פירון:q10_defendant","גורנציקי:q10_defendant","יגאל ארנון:q10_defendant","נשיץ ברנדס אמיר:q10_defendant","ש.הורוביץ:q10_defendant","גרוס קלינדהנדלר:q10_defendant","פרל כהן לצר צדק ברץ:q10_defendant","עמית פולק מטלון:q10_defendant","עמר רייטר זאן:q10_defendant","ארדינסט בן נתן טולידנו ושות:q10_defendant","זיסמן אהרוני גייר:q10_defendant","בלטר גוט אלוני:q10_defendant","תדמור ושות פרופ' יובל לוי ושת:q10_defendant","אגמון ושות רוזנברג הכהן ושות:q10_defendant","דורון טיקוצקי קנטור:q10_defendant","ברנע:q10_defendant","ליפא מאיר:q10_defendant","ש.פרידמן:q10_defendant","יהודה רווה:q10_defendant","וקסלר ברגמן:q10_defendant","לויתן שרון:q10_defendant","יוסי לוי:q10_defendant","הררי טויסטר:q10_defendant","חיים פרוכרטר:q10_defendant","אליאס בן אריה:q10_defendant","בועז בן צור:q10_defendant","בן ארי פיש:q10_defendant","איתן מהולל שדות:q10_defendant","ברקמן וקלסר בלום:q10_defendant","רון גזית רוטנברג:q10_defendant","ויינברגר ברטנטל:q10_defendant","אחר, פרט::q10_defendant","אחר, פרט::q10_defendant","q11_judge_support","q12_judge_opposed","q13_new_law","אחר, פרט::q13_new_law","q14_court","צרכנות:q15_subject_profit","ביטוח:q15_subject_profit","בנקאות:q15_subject_profit","הגבלים עסקיים:q15_subject_profit","ניירות ערך:q15_subject_profit","מפגעים סביבתיים:q15_subject_profit","חוק איסור אפליה:q15_subject_profit","נגישות לאנשים עם מוגבלות:q15_subject_profit","דיני עבודה:q15_subject_profit","תביעות נגד רשויות:q15_subject_profit","חוק הספאם:q15_subject_profit","q16_favourable_end","q17_manage_suit","q18_representation","q19_unjustified_specify","city","status","אחר::status"
"47","2019-01-14 08:51:57","14/01/2019 3:56:46 pm","Complete","1","4","4","2","1","2","2","3","","","","","","","גורודיסקי","","","","יצחק אבירם","","","","","","","","","","","","","","","","אמיר ישראלי","","","","","חן שטיין","","","חן שטיין","","","","","","","","","מיתר ליקוורניק","","","פישר בכר חן וול אוריון","","","","נשיץ ברנדס אמיר","","","","","","","","","","אגמון ושות רוזנברג הכהן ושות","","","","","","וקסלר ברגמן","","","","","","","","","","","","","","שושנה אלמגור","מנחם רניאל","education","","מחוזי ת""א","צרכנות","","בנקאות","","","","","","","","","settlement","single_office","defendents","סימון אריזות","תל אביב","partner",""
"48","2019-01-14 08:51:32","14/01/2019 3:53:00 pm","Partial","1","1","2","3","2","5","2","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49","2019-01-14 08:52:45","14/01/2019 4:00:44 pm","Complete","1","1","3","5","5","1","1","5","","","","","","בך - לדרמן","","","","","","","","","","","","","","","","אורלי בן עמי","","","","","אמיר ישראלי","","","","אסף שילה","","","","","","","","","שמש מנור","","","","מיתר ליקוורניק","גולדפרב זליגמן","","פישר בכר חן וול אוריון","","","יגאל ארנון","","","","","","","ארדינסט בן נתן טולידנו ושות","","","","","","","","","","","","","","","","","","","","","","","","יגאל גריל","צילה צפת","privacy","","מחוזי מרכז","צרכנות","","","","","","","","","","","legal_mediation","no_preference","prosecutors","מבוססת על עובדות שניתן היה לבדוק ולא נבדקו","חיפה","owner",""
"50","2019-01-14 08:52:58","17/01/2019 11:58:58 am","Partial","1","2","2","3","3","2","2","3","","","","","","","","","","","","קלעי רוזן","אסף פינק","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","אחר, פרט:","לא ידוע לי","עאטף עיילבוני","אסתר שטמר","","","","","","","","","","","","","","","","","","","","",""
"51","2019-01-14 08:53:34","29/01/2019 10:12:04 am","Complete","1","3","3","5","2","2","3","3","גיל רון קינן ושות'","","שפירא בר אור מצקין","","","","","","","","","","","רונן עדיני","","","","","","","","","","","","","אמיר ישראלי","רענן בשן","","","","","","","","","","","","","","","","מיתר ליקוורניק","","","","","","","","","גרוס קלינדהנדלר","","","","ארדינסט בן נתן טולידנו ושות","","","","אגמון ושות רוזנברג הכהן ושות","","","","","יהודה רווה","","","","","","","","","","","","","","","מנחם רניאל","מיכל נד''ב","education","","מחוזי חיפה","צרכנות","","בנקאות","","","","","","","","","settlement","single_office","defendents","תובענה שניכר בה שהוגשה למטרת שכר טרחה","תל אביב -יפו","partner",""
"52","2019-01-14 08:56:55","14/01/2019 3:57:56 pm","Partial","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53","2019-01-14 08:56:51","14/01/2019 4:01:38 pm","Complete","1","2","2","3","4","3","3","4","גיל רון קינן ושות'","","","","","","","","","","","","אסף פינק","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","גולדפרב זליגמן","","","","","יגאל ארנון","נשיץ ברנדס אמיר","","","","","","","","","","אגמון ושות רוזנברג הכהן ושות","","","ליפא מאיר","","","","","","","","","","","","","","","","","רחמים כהן","דורון חסדאי","privacy","","מחוזי מרכז","","","בנקאות","","","","","","","","","settlement","no_preference","prosecutors","תביעה קנטרנית שניתן היה לפתור בפניה מוקדמת","תל אביב -יפו","employed",""
"54","2019-01-14 08:57:58","14/01/2019 4:05:18 pm","Complete","1","2","3","2","2","2","3","4","גיל רון קינן ושות'","","","","","","","","","","","","אסף פינק","רונן עדיני","","","","","","","","","","","","","","","","","","","","","","","","עובדיה כהן","","שמש מנור","","","הרצוג פוקס נאמן","מיתר ליקוורניק","","","פישר בכר חן וול אוריון","מ.פירון","","יגאל ארנון","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","שושנה אלמגור","צילה צפת","old_age","","מחוזי ת""א","צרכנות","ביטוח","","","","","","","","","","verdict","coop_office","prosecutors","תובענה שהערך המוגן בה הוא שולי, קטן, לא חשוב דיו מבחינה חברתית-סוציאלית-כלכלית, נושאים קטנוניים, ענייני כימות, עניינים דווקניים שנוגעים להפרות חוק מטעמים טכניים","גבעתיים","partner",""
"55","2019-01-14 08:58:12","14/01/2019 3:58:36 pm","Partial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56","2019-01-14 08:59:03","17/01/2019 12:11:48 pm","Complete","1","3","4","4","5","3","2","4","","","","","","","","","","","","","","","","","","","","","","","","","","","אמיר ישראלי","","","","","","","","","","","","","","","","","","","","","","","יגאל ארנון","","ש.הורוביץ","","","","","","","","","","","","","ש.פרידמן","","","","","","","","","","איתן מהולל שדות","","","","","","שושנה אלמגור","אסתר שטמר","privacy","","מחוזי י-ם","צרכנות","","","","ניירות ערך","","","","","","","dismissal","single_office","defendents","תובענה ששעל פני הדברים אינה מגלה עילת תביעה","תל אביב -יפו","partner",""
"57","2019-01-14 09:04:57","14/01/2019 4:27:21 pm","Complete","1","2","1","3","3","3","4","5","גיל רון קינן ושות'","","","","אבי רוקח","בך - לדרמן","","","","מוסקוביץ – אזרואל","","","","","","","","","","","","","","","","","","","","","אסף שילה","","","","","","","","","","","","","מיתר ליקוורניק","גולדפרב זליגמן","שבלת עם ראבד מגריזו","פישר בכר חן וול אוריון","","","יגאל ארנון","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","תמר בזק רפפורט","צילה צפת","privacy","","מחוזי חיפה","","ביטוח","","","ניירות ערך","","","","","","","legal_mediation","no_preference","prosecutors","תובענות סימוניות שהנזק בהן הוא תיאורטי לחלוטין","גבעת ברנר","owner",""
"58","2019-01-14 09:05:46","14/01/2019 4:06:04 pm","Partial","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59","2019-01-14 09:19:30","14/01/2019 4:24:49 pm","Partial","1","1","2","1","3","3","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","פירט וילנסקי","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ברקמן וקלסר בלום","","","","","יחזקאל קינר","צילה צפת","","","","","","","","","","","","","","","","","","","","",""
"60","2019-01-14 09:20:58","14/01/2019 4:21:13 pm","Partial","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61","2019-01-14 08:45:09","14/01/2019 4:31:44 pm","Partial","1","2","3","3","4","3","3","5","","","שפירא בר אור מצקין","","","","","","","","","","","","","","","","","","","","","","","","אמיר ישראלי","רענן בשן","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","יהודה רווה","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63","2019-01-14 09:53:23","14/01/2019 4:58:18 pm","Complete","1","4","3","2","1","2","1","3","גיל רון קינן ושות'","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","הרצוג פוקס נאמן","מיתר ליקוורניק","","","פישר בכר חן וול אוריון","","","","","","","","","","","","","תדמור ושות פרופ' יובל לוי ושת","","","","ליפא מאיר","","","","","","","","","","","","","","","","","אסתר שטמר","מנחם רניאל","old_age","","מחוזי מרכז","צרכנות","","","הגבלים עסקיים","","","","","","","","dismissal","single_office","defendents","פגיעה במערכת","רמת גן","partner",""
"64","2019-01-14 08:20:56","14/01/2019 5:29:40 pm","Complete","1","2","4","5","2","1","4","4","","","","","","","","","","מוסקוביץ – אזרואל","","","","","","","","","","","","","","","","","אמיר ישראלי","","","","","","","","","","","","","","","","","","","","פישר בכר חן וול אוריון","","גורנציקי","יגאל ארנון","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","מיכל אגמון גונן","מיכל נד''ב","other","אף אחד","מחוזי מרכז","","ביטוח","בנקאות","","","","","","","","","settlement","no_preference","defendents","תובענה שאינה מקימה עילה / תובענה פרטית שאינה מתאימה להליך של תביעה ייצוגית / תובענה הכוללת טענות עובדתיות שאינן אמת.","תל אביב -יפו","other","יועמ\""ש פנימי בחברה"
"65","2019-01-14 10:44:58","14/01/2019 5:47:40 pm","Partial","1","3","4","3","4","3","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","אחר, פרט:","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","אחר, פרט:","1","תמר בזק רפפורט","מיכל נד''ב","","","","","","","","","","","","","","","","","","","","",""
"66","2019-01-14 10:50:42","14/01/2019 5:54:02 pm","Partial","1","4","4","5","2","2","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67","2019-01-14 10:52:45","14/01/2019 5:54:48 pm","Partial","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68","2019-01-14 11:02:37","14/01/2019 6:03:07 pm","Partial","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69","2019-01-14 11:43:37","14/01/2019 6:46:48 pm","Partial","1","4","3","5","2","2","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70","2019-01-14 11:35:26","14/01/2019 7:08:27 pm","Complete","1","1","2","1","3","3","4","5","","","","","אבי רוקח","","","","","מוסקוביץ – אזרואל","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","אחר, פרט:","מיכאל בך","","","","","","","","","","","","","","","","","","","אגמון ושות רוזנברג הכהן ושות","","","","","","","","","הררי טויסטר","","","","","","","","","","","רות רונן","צילה צפת","privacy","","מחוזי מרכז","","","","","","מפגעים סביבתיים","","","","","","settlement","coop_office","prosecutors","ללא עילה בעלת חשיבות ציבורית","תל אביב -יפו","owner",""
"71","2019-01-14 12:02:05","14/01/2019 7:02:18 pm","Partial","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72","2019-01-14 12:32:34","14/01/2019 7:40:29 pm","Complete","1","1","2","3","4","3","2","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","אחר, פרט:","הרבה מהן אני לא מכיר","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","אחר, פרט:","הרבה מהם לא מוכרים לי בתחום זה","מיכל אגמון גונן","אסתר שטמר","privacy","","מחוזי חיפה","","","בנקאות","הגבלים עסקיים","","","","","","","","settlement","no_preference","prosecutors","תבוענה בה ברור מראש למבקש האישור שאין לו ואין לקבוצה עילת תביעה נגד הנתבעת. ","תל אביב","owner",""
"73","2019-01-14 12:42:04","14/01/2019 7:45:33 pm","Partial","1","2","3","5","4","1","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","חן שטיין","","","","","","","","","אחר, פרט:","שיבולת","הרצוג פוקס נאמן","מיתר ליקוורניק","","שבלת עם ראבד מגריזו","","","","יגאל ארנון","נשיץ ברנדס אמיר","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","מיכל אגמון גונן","","","","","","","","","","","","","","","","","","","","","",""
"74","2019-01-14 13:06:19","14/01/2019 8:11:50 pm","Partial","1","2","2","2","4","4","2","4","","","","","","","","","","","","","","","","","","פדלון&לופו","גולן נפתלי","מאור בן דוד","שקד דדוש","","","","","","","","","","","","","","","","","","","שמש מנור","","","הרצוג פוקס נאמן","","גולדפרב זליגמן","","","","","","נשיץ ברנדס אמיר","ש.הורוביץ","","","","","","","","","","","","","","","","","","הררי טויסטר","","","","","","","","","","","רחמים כהן","מיכל נד''ב","public_housing","","מחוזי באר שבע","","","","","","","","","","","","dismissal","no_preference","both","","","",""
"75","2019-01-14 13:12:16","14/01/2019 8:17:42 pm","Complete","1","4","3","2","2","2","2","4","גיל רון קינן ושות'","","","","","","גורודיסקי","","","","יצחק אבירם","","","","","","","","","","","","","","","","אמיר ישראלי","רענן בשן","","","","","","","","","","","","","","","","","","","","מ.פירון","","יגאל ארנון","","","","","","","ארדינסט בן נתן טולידנו ושות","","","","אגמון ושות רוזנברג הכהן ושות","","","","","","","","","","","","","","","","רון גזית רוטנברג","","","","מנחם רניאל","אסתר שטמר","privacy","","מחוזי חיפה","צרכנות","","","הגבלים עסקיים","","","","","","","","settlement","single_office","defendents","תובענה שעורך הדין המציא מבלי שיש נפגע אמיתי","תל אביב","partner",""
"76","2019-01-14 13:15:31","14/01/2019 8:25:30 pm","Complete","1","4","2","2","2","2","2","2","גיל רון קינן ושות'","","","","","בך - לדרמן","","","","","","קלעי רוזן","","רונן עדיני","","","","","","","","","","","","","","","","","","","","","","","","עובדיה כהן","","","","","","","גולדפרב זליגמן","","","","גורנציקי","","","","","","","","ארדינסט בן נתן טולידנו ושות","","","","אגמון ושות רוזנברג הכהן ושות","","","","","","","לויתן שרון","","","","","","","","","","","","","אסתר שטמר","צילה צפת","internet","","מחוזי ת""א","","","","","ניירות ערך","מפגעים סביבתיים","","","","","","verdict","single_office","defendents","תובענה שלא מייצגת כשל שוק אמיתי","תל אביב -יפו","partner",""
"78","2019-01-14 13:51:48","14/01/2019 8:57:21 pm","Complete","1","2","4","4","3","3","3","5","גיל רון קינן ושות'","","","","","","","","","","יצחק אבירם","","","רונן עדיני","","","","","","","","","","","","","אמיר ישראלי","","","","אסף שילה","","","","","","","","","","","","","","גולדפרב זליגמן","","פישר בכר חן וול אוריון","","","יגאל ארנון","","","","","","","","","","תדמור ושות פרופ' יובל לוי ושת","","","","","","","","","","","","","","","","ברקמן וקלסר בלום","","","","","שושנה אלמגור","צילה צפת","old_age","","מחוזי ת""א","","","","","ניירות ערך","","","","","","","settlement","single_office","defendents","כזו שברור על פני הדברים שאין שום נזק","תל אביב","employed",""
"79","2019-01-14 13:54:34","14/01/2019 8:55:40 pm","Partial","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80","2019-01-14 13:59:40","14/01/2019 9:07:17 pm","Complete","1","1","3","3","3","3","2","5","גיל רון קינן ושות'","","","","","בך - לדרמן","","","","","יצחק אבירם","","","רונן עדיני","","","","","","","","","","","","","","","","","","","","","","","","","","שמש מנור","","","","מיתר ליקוורניק","","","","","גורנציקי","יגאל ארנון","","","","","","","","","","תדמור ושות פרופ' יובל לוי ושת","אגמון ושות רוזנברג הכהן ושות","","","","","","","","","","","","","","","","","","","","מיכל נד''ב","מנחם רניאל","privacy","","מחוזי ת""א","","ביטוח","בנקאות","","","","","","","","","legal_mediation","single_office","prosecutors","תובענה חסרת עילה כמובן ","ת""א","partner",""
"81","2019-01-14 09:19:47","14/01/2019 9:14:21 pm","Complete","1","1","2","3","5","3","3","5","גיל רון קינן ושות'","","","","","","","","","","","","אסף פינק","","","","","פדלון&לופו","","","","אורלי בן עמי","","","","","אמיר ישראלי","","","","","","","","","","","","","","","","הרצוג פוקס נאמן","","גולדפרב זליגמן","","","","","","נשיץ ברנדס אמיר","","","","","","","","","","אגמון ושות רוזנברג הכהן ושות","","","","","","","","","","","","","","איתן מהולל שדות","","","","","","שושנה אלמגור","צילה צפת","education","","מחוזי ת""א","צרכנות","","","","","","","","","","","legal_mediation","single_office","prosecutors","עילת תביעה חלשה בלתי מבוססת במובן החוקי העובדתי והראייתי. ניסוח רפה של הנפקות הציבורית וסיכוי קלוש להשיג תועלת ציבורית","נתניה","owner",""
"83","2019-01-14 14:34:39","17/01/2019 3:09:44 pm","Partial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84","2019-01-14 08:48:37","14/01/2019 10:21:44 pm","Partial","1","4","3","1","2","1","3","3","","","","","","","","","","","","","","רונן עדיני","","","","","","","","","","","","","","","","","","","","","","","","","","שמש מנור","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85","2019-01-14 15:52:46","14/01/2019 11:00:12 pm","Complete","1","1","2","2","2","2","4","5","גיל רון קינן ושות'","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","שמש מנור","אחר, פרט:","מירון, בן ציון פריבס","","","","","","","","","נשיץ ברנדס אמיר","","","","","עמר רייטר זאן","","","","","","","","","","","","","","","","","בועז בן צור","","","","","","","","מנחם רניאל","אסתר שטמר","privacy","","מחוזי י-ם","","","","הגבלים עסקיים","ניירות ערך","","","","","","","legal_mediation","single_office","prosecutors","שנועדה להסתלקות מתוגמלת","תל אביב -יפו","employed",""
"86","2019-01-14 15:57:32","14/01/2019 10:57:44 pm","Partial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87","2019-01-15 00:11:01","15/01/2019 7:16:26 am","Complete","1","2","4","3","2","5","3","5","גיל רון קינן ושות'","","","","","","","","ואנונו - זקבך","","יצחק אבירם","","אסף פינק","","","","","","","","","","","","","","אמיר ישראלי","","","","","","","","","","","","","","","","הרצוג פוקס נאמן","מיתר ליקוורניק","","שבלת עם ראבד מגריזו","פישר בכר חן וול אוריון","","","יגאל ארנון","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","יגאל גריל","אסתר שטמר","old_age","","מחוזי מרכז","","","בנקאות","","ניירות ערך","","","","","","","settlement","single_office","prosecutors","תובענה נגד עוסק קטן","חיפה","partner",""
"88","2019-01-15 00:34:53","15/01/2019 7:35:07 am","Partial","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89","2019-01-15 00:36:13","15/01/2019 7:39:52 am","Partial","1","2","4","4","2","2","4","4","","","","","","בך - לדרמן","","","","","יצחק אבירם","","","","","","","","","","","","","","","","","","","","","","","","","","","","רם דקל","שמש מנור","","","","","","","","מ.פירון","","","","","","","עמית פולק מטלון","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91","2019-01-15 01:04:47","15/01/2019 8:05:12 am","Partial","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92","2019-01-15 01:42:57","15/01/2019 8:58:11 am","Complete","1","4","3","2","3","1","3","4","גיל רון קינן ושות'","","","","","בך - לדרמן","","","","","","","","","","","","","","","","","","","","","אמיר ישראלי","","","","","","","","","","","","","שמש מנור","אחר, פרט:","הורוביץ אבן אוזן (ירון אלון)","","","","","פישר בכר חן וול אוריון","","","","","","","","","עמר רייטר זאן","","","","","","","","","","","","","","","","","","","","","רון גזית רוטנברג","","","","רחמים כהן","צילה צפת","other","צבא","מחוזי מרכז","צרכנות","","בנקאות","","","","","","","","","settlement","single_office","prosecutors","כזו שאין בה כל נזק אלא רק נסיון לאכוף משהו שרגולטור צריך לאכוף","רמת גן","partner",""
"93","2019-01-15 01:51:06","15/01/2019 8:51:15 am","Partial","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94","2019-01-15 02:19:14","15/01/2019 9:25:00 am","Complete","1","4","3","5","3","3","4","4","","אייל גולדנברג","","","","בך - לדרמן","","","","","","קלעי רוזן","אסף פינק","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","הרצוג פוקס נאמן","מיתר ליקוורניק","","","","","","","","ש.הורוביץ","","","","","","","","","אגמון ושות רוזנברג הכהן ושות","","","","","","","","","","","","","","","","","","","","שושנה אלמגור","שושנה אלמגור","privacy","","מחוזי ת""א","צרכנות","","","","","","חוק איסור אפליה","","","","","settlement","no_preference","defendents","תובענה שאין בבסיסה עילת תביעה","תל אביב -יפו","employed",""
"96","2019-01-15 02:49:48","15/01/2019 9:50:12 am","Partial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97","2019-01-15 03:48:25","15/01/2019 10:48:32 am","Partial","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99","2019-01-15 00:28:18","15/01/2019 11:16:04 am","Partial","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100","2019-01-15 04:16:50","15/01/2019 11:17:03 am","Partial","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"101","2019-01-15 04:19:17","15/01/2019 12:03:47 pm","Complete","1","2","4","3","2","2","4","4","גיל רון קינן ושות'","","","","","בך - לדרמן","גורודיסקי","","","","","","אסף פינק","","","","","","","","","","","","","","","","","פירט וילנסקי","","","","","","","","","","","","","","מיתר ליקוורניק","","","","","","יגאל ארנון","","ש.הורוביץ","","","","","","","בלטר גוט אלוני","","אגמון ושות רוזנברג הכהן ושות","","","","","","","","","","","","","","","","","","","","אסתר שטמר","עידית ברקוביץ","other","לא הייתי מוסיף","מחוזי י-ם","","","","","ניירות ערך","","","","","","","settlement","no_preference","defendents","תביעה שאין לה עילת תביעה, ומוגשת רק לשם ניסיון לסחוט שכ""ט.","תל אביב","partner",""
